Order/Family	Genus/Species	Common Name	Wild	Capt.	M/F	Reference
 	Redunca arundinum	Southern reedbuck	 	10.0	x	[100]
 	Redunca fulvorufula	Mountain reedbuck	12.0	 	x	[100]
 	Redunca redunca	Bohor reedbuck	 	10.0	x	[100]
 	Redunca redunca	Bohor reedbuck	 	18.0	x	[143]
 	Rupicapra rupicapra	Chamois	20.0	 	x	[100]
 	Rupricapra spp.	Chamois	22.0	 	x	[229]
 	Saiga tatarica	Saiga antelope	10.0	 	x	[100]
 	Saiga tatarica	Saiga antelope	12.0	 	x	[229]
 	Sylvicapra grimmia	Gray duiker	 	12.0	x	[100]
 	Sylvicapra grimmia	Gray duiker	 	14.3	x	[143]
 	Syncerus caffer	African buffalo	29.5	 	x	[21]
 	Syncerus caffer	African buffalo	26.0	16.0	x	[100]
 	Syncerus caffer	African buffalo	18.0	29.5	x	[143]
 	Taurotragus oryx	Eland	 	23.6	f	[311]
 	Tetracerus quadricornis	Four-horned antelope	10.0	 	x	[100]
 	Tetracerus quadricornis	Four-horned antelope	 	10.0	x	[143]
 	Tragelaphus angasi	Nyala	16.0	 	x	[100]
 	Tragelaphus euryceros	Bongo	19.0	 	x	[100]
 	Tragelaphus euryceros	Bongo	 	19.4	f	[252]
 	Tragelaphus imberbis	Lesser kudu (+)	15.0	 	x	[100]
 	Tragelaphus imberbis	Lesser kudu (+)	10.0	15.0	x	[177] [180]
 	Tragelaphus oryx	Eland antelope	25.0	 	x	[100]
 	Tragelaphus spekei	Sitatunga	20.0	 	x	[161]
 	Tragelaphus spekei	Sitatunga	19.0	 	x	[100]
 	Tragelaphus strepsiceros	Greater kudu	 	23.0	x	[100]
 	Tragelaphus strepsiceros	Greater kudu	 	20.8	x	[143]
Camelidae	Camelus dromedarius	Dromedary, one-humped camel	40.0	 	x	[100]
 	Camelus ferus	Bactrian camel (+)	35.0	 	x	[21]
 	Camelus ferus	Bactrian, two-humped camel	40.0	 	x	[100]
 	Camelus spp.	Camel	 	50.0	x	[87]
 	Lama guanicoe	Guanaco	20.0	 	x	[100]
 	Lama guanicoe	Guanaco	 	28.3	x	[143]
 	Lama guanicoe f. glama	Llama	20.0	 	x	[100]
 	Vicugna vicugna	Vicuna	20.0	 	x	[100]
 	Vicugna vicugna	Vicuna	 	24.8	x	[78] [79] [277]
Cervidae	Alces alces	Moose (+)	16.0	 	x	[100]
 	Alces alces	Moose	27.0	 	x	[241]
 	Axis axis	Axis deer	 	15.0	x	[100]
 	Axis axis	Axis deer	 	20.8	x	[143]
 	Axis porcinus	Hog deer	 	20.0	x	[100]
 	Capreolus capreolus	Roe deer	15.0	 	x	[100]
 	Capreolus spp.	Roe deer	17.0	 	x	[229]
 	Cervus elaphus	Red deer	26.8	 	x	[21]
 	Cervus elaphus	Red deer	20.0	 	x	[100]
 	Cervus elaphus	Red deer	 	24.7	x	[143]
 	Cervus eldi	Brow-antlered deer	 	19.4	f	[246]
 	Cervus (Przewalskium) albirostris	Thorold’s deer	18.0	 	x	[100]
 	Dama dama	Fallow deer (+)	 	20.0	x	[72]
 	Dama dama	Fallow deer	25.0	 	x	[100]
 	Elaphurus davidianus	Pere David’s deer	18.0	 	x	[100]
 	Elaphurus davidianus	Pere David’s deer	23.3	 	x	[144]
 	Hippocamelus antisensis	Guemals	 	10.6	x	[143]
 	Hydropotes inermis	Chinese water deer	12.0	 	x	[100]
 	Hydropotes inermis	Chinese water deer (+)	 	11.5	x	[143]
 	Mazama americana	Red brocket	12.0	 	x	[100]
 	Mazama americana	Red brocket	 	13.8	x	[143]
 	Mazama gouazoubira	Brown brocket	12.0	 	x	[100]
 	Moschus spp.	Musk deer	 	20.0	x	[95]
 	Muntiacus muntjak	Indian muntjac (+)	 	17.0	x	[100]
 	Muntiacus muntjak	Indian muntjac (+)	 	17.6	x	[143]
 	Odocoileus virginianus	White-tailed deer	10.0	16.0	x	[100]
 	Odocoileus virginianus	White-tailed deer	 	23.0	x	[312]
 	Pudu mephistopheles	Northern pudu	10.0	 	x	[100]
 	Pudu pudu	Southern pudu	 	12.5	x	[143]
 	Pudu pudu	Southern pudu	10.0	 	x	[100]
 	Rangifer tarandus	Caribou	15.0	20.2	x	[10] [16] [143] [273]
 	Rangifer tarandus	Caribou (+)	8.0	 	m	[100]
 	Rangifer tarandus	Caribou (+)	10.0	 	f	[100]
Giraffidae	Giraffa camelopardalis	Giraffe	36.3	 	x	[21]
 	Giraffa camelopardalis	Giraffe	26.0	 	f	[49]
 	Giraffa camelopardalis	Giraffe	25.0	28.0	x	[100] [192]
 	Giraffa camelopardalis	Giraffe	 	36.2	x	[143]
 	Okapia johnstoni	Okapi (+)	 	30.0	x	[100]
 	Okapia johnstoni	Okapi	 	33.0	x	[143]
 	Okapia johnstoni	Okapi	 	15.0	x	[192]
